t,x,y,z
4.28,0.9938416,-0.6617759,0.9835521
4.3,0.9818599,-0.6339341,0.9702044
4.32,0.9688267,-0.6057448,0.9564542
4.34,0.9547891,-0.5772349,0.9423416
4.36,0.9397947,-0.5484313,0.9279067
4.38,0.9238908,-0.5193608,0.9131896
4.4,0.9071247,-0.4900503,0.8982303
4.42,0.8895438,-0.4605267,0.8830691
4.44,0.8711954,-0.4308167,0.867746
4.46,0.852127,-0.4009473,0.8523011
4.48,0.8323858,-0.3709454,0.8367745
4.5,0.8120193,-0.3408377,0.8212062
4.52,0.7910748,-0.3106512,0.8056365
4.54,0.7695998,-0.2804128,0.7901054
4.56,0.7476414,-0.2501492,0.774653
4.58,0.7252472,-0.2198873,0.7593195
4.6,0.6793405,-0.1594763,0.7291692
4.62,0.6322586,-0.0993945,0.6999753
4.64,0.5843804,-0.039857,0.6720588
4.66,0.5602611,-0.0103595,0.6586797
4.68,0.5360848,0.0189214,0.6457403
4.7,0.5118989,0.0479588,0.6332806
4.72,0.4877508,0.0767259,0.6213408
4.74,0.4636877,0.1051957,0.6099608
4.76,0.4397572,0.1333414,0.599181
4.78,0.4160065,0.1611362,0.5890412
4.8,0.392483,0.1885532,0.5795817
4.82,0.369234,0.2155655,0.5708425
4.84,0.346307,0.2421463,0.5628638
4.86,0.3237493,0.2682687,0.5556856
4.88,0.3016082,0.2939058,0.549348
4.9,0.2799312,0.3190308,0.5438912
4.92,0.2587656,0.3436168,0.5393552
4.94,0.2381583,0.3676432,0.5357765
4.96,0.2181507,0.3911891,0.5331303
4.98,0.1987793,0.4144148,0.5313425
5,0.1800805,0.4374832,0.5303376
5.02,0.1620907,0.4605568,0.5300401
5.04,0.1448463,0.4837984,0.5303743
5.06,0.1283839,0.5073708,0.5312647
5.08,0.1127397,0.5314365,0.5326358
5.1,0.0979502,0.5561583,0.5344119
5.12,0.0840519,0.5816989,0.5365175
5.14,0.071081,0.608221,0.5388771
5.16,0.0590742,0.6358873,0.5414151
5.18,0.0480677,0.6648605,0.5440559
5.2,0.042951,0.6798881,0.5453913
5.22,0.0380981,0.6953033,0.546724
5.24,0.0335134,0.7111267,0.5480447
5.26,0.0292016,0.7273785,0.5493438
5.28,0.0251672,0.744079,0.550612
5.3,0.0214148,0.7612486,0.5518397
5.32,0.0179489,0.7789077,0.5530177
5.34,0.014774,0.7970765,0.5541363
5.36,0.0118948,0.8157754,0.5551862
5.38,0.0093157,0.8350247,0.5561578
5.4,0.0070414,0.8548449,0.5570419
5.42,0.0050764,0.8752561,0.5578289
5.44,0.0034251,0.8962788,0.5585093
5.46,0.0020923,0.9179333,0.5590738
5.48,0.0010824,0.9402399,0.5595129
5.5,0.0003999,0.963219,0.5598171
5.52,0.0000495,0.9868909,0.559977
5.54,0.0000003,0.998993,0.5599999
5.56,0.0000003,1.0107935,0.5598598
5.58,0.0000011,1.021684,0.5594001
5.6,0.0000024,1.0317428,0.5586398
5.62,0.000004,1.0410525,0.557599
5.64,0.0000057,1.0496954,0.5562978
5.66,0.0000074,1.057754,0.5547565
5.68,0.0000089,1.0653106,0.5529951
5.7,0.0000108,1.0792478,0.5488927
5.72,0.0000103,1.0921665,0.5441515
5.74,0.0000062,1.104726,0.5389328
5.76,-0.0000027,1.1175849,0.5333988
5.78,-0.000016,1.1312972,0.527874
5.8,-0.0000305,1.14621,0.5230036
5.82,-0.0000369,1.1542175,0.5210271
5.84,-0.0000423,1.1626462,0.5194702
5.86,-0.000046,1.1715365,0.5184182
5.88,-0.0000477,1.1809287,0.5179565
5.9,-0.0000468,1.1907013,0.5182753
5.92,-0.000043,1.2004001,0.5196212
5.94,-0.0000373,1.2097622,0.5219829
5.96,-0.0000302,1.2185332,0.5253418
5.98,-0.0000225,1.2264585,0.5296791
6,-0.000015,1.2332839,0.5349761
6.02,-0.0000115,1.2362045,0.5379786
6.04,-0.0000083,1.2387548,0.541214
6.06,-0.0000055,1.2409027,0.5446799
6.08,-0.0000032,1.2426167,0.5483741
6.1,-0.0000014,1.2438648,0.5522941
6.12,-0.0000003,1.2446153,0.5564376
6.14,0,1.2448363,0.5608003
6.16,0,1.2445193,0.5651293
6.18,0,1.243693,0.5692476
6.2,0,1.2423875,0.5731522
6.22,0,1.2406328,0.5768399
6.24,0,1.2384588,0.5803076
6.26,0,1.232973,0.5865704
6.28,0,1.2261699,0.5919155
6.3,0,1.2182893,0.5963178
6.32,0,1.2095711,0.5997522
6.34,0,1.200255,0.6021935
6.36,0,1.190581,0.6036166
6.38,0,1.1807931,0.6040013
6.4,0,1.1713398,0.6036465
6.42,0,1.162379,0.6027829
6.44,0,1.1538749,0.6014697
6.46,0,1.145792,0.5997664
6.48,0,1.1380946,0.5977322
6.5,0,1.1237133,0.5929087
6.52,0,1.1104446,0.5874736
6.54,0,1.0978763,0.5818406
6.56,0,1.0853508,0.5763061
6.58,0,1.0721824,0.5711525
6.6,0,1.0651428,0.5688069
6.62,0,1.0576852,0.5666625
6.64,0,1.0497241,0.5647547
6.66,0,1.0411735,0.5631188
6.68,0,1.0319479,0.5617901
6.7,0,1.0219615,0.560804
6.72,0,1.0111286,0.5601957
6.74,0,0.999365,0.5600003
6.76,-0.0000155,0.9753353,0.560445
6.78,-0.0000653,0.9520249,0.5617154
6.8,-0.0001563,0.9294169,0.5637831
6.82,-0.0002955,0.9074946,0.5666193
6.84,-0.0004898,0.8862411,0.5701956
6.86,-0.0007463,0.8656397,0.5744832
