t,x,y,z
3.82,1.0769553,-0.9438057,1.079115
3.84,1.0839245,-0.9306787,1.0746462
3.86,1.0902922,-0.9174923,1.07004
3.88,1.096067,-0.9042481,1.0653
3.9,1.1012576,-0.8909478,1.0604298
3.92,1.1058729,-0.877593,1.0554331
3.94,1.1099215,-0.8641853,1.0503133
3.96,1.1134121,-0.8507263,1.0450741
3.98,1.1163535,-0.8372176,1.0397192
4,1.1187543,-0.8236609,1.034252
4.02,1.1206233,-0.8100578,1.0286762
4.04,1.1219692,-0.7964099,1.0229954
4.06,1.1228007,-0.7827189,1.0172131
4.08,1.1231266,-0.7689862,1.0113331
4.1,1.1229554,-0.7552137,1.0053588
4.12,1.1222961,-0.7414028,0.9992939
4.14,1.1211572,-0.7275552,0.9931419
4.16,1.1195475,-0.7136726,0.9869065
4.18,1.1174757,-0.6997565,0.9805913
4.2,1.1149505,-0.6858085,0.9741998
4.22,1.1119806,-0.6718304,0.9677357
4.24,1.1085748,-0.6578237,0.9612025
4.26,1.1004902,-0.6297309,0.9479434
4.28,1.0907665,-0.6015433,0.9344513
4.3,1.0794732,-0.5732737,0.9207549
4.32,1.0666802,-0.5449351,0.906883
4.34,1.0524572,-0.5165405,0.8928643
4.36,1.0368739,-0.4881028,0.8787278
4.38,1.02,-0.4596351,0.864502
4.4,1.0019053,-0.4311502,0.8502158
4.42,0.9826594,-0.4026612,0.835898
4.44,0.9623322,-0.374181,0.8215774
4.46,0.9409933,-0.3457226,0.8072826
4.48,0.9187125,-0.3172989,0.7930426
4.5,0.8955595,-0.2889229,0.778886
4.52,0.871604,-0.2606075,0.7648416
4.54,0.8469157,-0.2323658,0.7509382
4.56,0.8215644,-0.2042107,0.7372047
4.58,0.7956199,-0.1761552,0.7236696
4.6,0.7691517,-0.1482121,0.7103619
4.62,0.7422297,-0.1203946,0.6973103
4.64,0.7149236,-0.0927155,0.6845436
4.66,0.6873031,-0.0651878,0.6720905
4.68,0.659438,-0.0378246,0.6599798
4.7,0.6313979,-0.0106386,0.6482404
4.72,0.6032526,0.016357,0.6369008
4.74,0.5750718,0.0431494,0.6259901
4.76,0.5469252,0.0697255,0.6155368
4.78,0.5188826,0.0960724,0.6055698
4.8,0.4910138,0.1221771,0.5961179
4.82,0.4633883,0.1480267,0.5872098
4.84,0.436076,0.1736082,0.5788742
4.86,0.4091466,0.1989086,0.5711401
4.88,0.3826698,0.223915,0.5640361
4.9,0.3567153,0.2486144,0.5575911
4.92,0.3313529,0.2729938,0.5518337
4.94,0.3066522,0.2970403,0.5467928
4.96,0.2826831,0.320741,0.5424971
4.98,0.2595152,0.3440827,0.5389755
5,0.2372165,0.3670579,0.5362536
5.02,0.2158254,0.389744,0.5343082
5.04,0.1953564,0.4122877,0.5330765
5.06,0.1758233,0.4348376,0.5324943
5.08,0.15724,0.4575424,0.5324974
5.1,0.1396202,0.4805507,0.5330218
5.12,0.1229779,0.5040113,0.5340033
5.14,0.1073268,0.5280727,0.5353779
5.16,0.0926807,0.5528836,0.5370813
5.18,0.0790535,0.5785928,0.5390496
5.2,0.0664591,0.6053487,0.5412185
5.22,0.0549111,0.6333002,0.543524
5.24,0.0495339,0.6477707,0.544708
5.26,0.0444235,0.6625959,0.545902
5.28,0.0395816,0.6777942,0.5470981
5.3,0.0350101,0.6933844,0.5482883
5.32,0.0307105,0.7093849,0.5494646
5.34,0.0266846,0.7258143,0.5506189
5.36,0.0229342,0.7426913,0.5517432
5.38,0.019461,0.7600345,0.5528295
5.4,0.0162667,0.7778623,0.5538698
5.42,0.013353,0.7961934,0.5548561
5.44,0.0107217,0.8150464,0.5557804
5.46,0.0083745,0.8344398,0.5566347
5.48,0.0063131,0.8543922,0.5574109
5.5,0.0045392,0.8749223,0.558101
5.52,0.0030547,0.8960486,0.558697
5.54,0.0018611,0.9177896,0.5591909
5.56,0.0009603,0.9401641,0.5595747
5.58,0.0003539,0.9631904,0.5598404
5.6,0.0000003,1.0107935,0.5598598
